Data_Retirada,SKU,Kg_Retirar_Hoje,Kg_Descongelando,Kg_Disponivel_Hoje,Idade_Lote_Descongelado,Validade_Max,Risco_Vencimento
2025-05-28,SKU_04,170.8,148.76,84.29,2,3,True
2025-05-27,SKU_01,179.16,64.15,117.71,3,3,True
2025-05-27,SKU_04,145.02,68.37,42.54,2,3,True
2025-05-27,SKU_06,90.85,42.02,112.29,4,5,True
2025-05-27,SKU_07,172.26,94.79,36.05,4,5,True
2025-05-26,SKU_03,62.42,106.35,52.08,4,3,True
2025-05-26,SKU_04,175.56,88.09,112.4,2,3,True
2025-05-26,SKU_05,94.57,102.3,72.84,4,3,True
2025-05-26,SKU_07,139.26,45.66,74.67,4,5,True
2025-05-25,SKU_03,70.52,144.53,70.14,3,3,True
2025-05-25,SKU_04,131.29,136.02,95.9,4,3,True
2025-05-25,SKU_08,77.09,102.47,112.39,4,5,True
2025-05-24,SKU_01,97.87,131.18,33.33,2,3,True
2025-05-24,SKU_02,134.1,92.92,109.65,2,3,True
2025-05-24,SKU_05,182.9,107.74,50.97,2,3,True
2025-05-24,SKU_06,180.51,42.34,108.72,4,5,True
2025-05-23,SKU_04,151.95,64.01,115.5,4,3,True
2025-05-23,SKU_05,88.85,104.74,118.41,2,3,True
2025-05-23,SKU_07,84.75,143.7,88.47,4,5,True
2025-05-23,SKU_09,83.07,60.51,100.16,4,5,True
2025-05-22,SKU_01,139.59,97.75,53.42,2,3,True
2025-05-22,SKU_02,163.74,116.56,43.85,2,3,True
2025-05-22,SKU_04,184.24,134.61,71.17,2,3,True
2025-05-22,SKU_06,179.32,129.05,88.97,4,5,True
