Data_Retirada,SKU,Kg_Retirar_Hoje,Kg_Descongelando,Kg_Disponivel_Hoje,Idade_Lote_Descongelado,Validade_Max,Risco_Vencimento
2025-06-11,SKU_06,81.0,70.14,49.31,1,5,False
2025-06-11,SKU_07,55.84,108.01,60.29,1,5,False
2025-06-11,SKU_08,97.85,132.94,32.09,1,5,False
2025-06-11,SKU_09,89.1,94.56,92.36,1,5,False
2025-06-11,SKU_10,144.34,136.52,96.16,4,5,True
2025-06-10,SKU_01,195.14,100.28,68.11,2,3,True
2025-06-10,SKU_02,198.58,85.39,63.48,4,3,True
2025-06-10,SKU_03,85.79,114.78,96.59,2,3,True
2025-06-10,SKU_04,65.47,139.28,75.47,0,3,False
2025-06-10,SKU_05,98.01,138.51,65.03,3,3,True
2025-06-10,SKU_06,193.78,133.19,61.94,3,5,False
2025-06-10,SKU_07,192.51,144.57,81.61,4,5,True
2025-06-10,SKU_08,63.76,106.27,79.83,4,5,True
2025-06-10,SKU_09,162.86,127.07,101.07,4,5,True
2025-06-10,SKU_10,189.64,147.17,119.63,1,5,False
2025-06-09,SKU_01,116.23,137.65,61.58,1,3,False
2025-06-09,SKU_02,195.3,115.68,105.33,0,3,False
2025-06-09,SKU_03,65.17,49.25,93.09,1,3,False
2025-06-09,SKU_04,109.5,138.11,43.19,4,3,True
2025-06-09,SKU_05,62.73,148.53,63.68,0,3,False
2025-06-09,SKU_06,182.05,66.04,111.69,4,5,True
2025-06-09,SKU_07,163.01,81.39,37.52,4,5,True
2025-06-09,SKU_08,106.7,117.56,52.39,2,5,False
2025-06-09,SKU_09,66.68,94.19,31.02,3,5,False
2025-06-09,SKU_10,135.72,121.51,99.05,0,5,False
2025-06-08,SKU_01,161.63,114.91,51.38,0,3,False
2025-06-08,SKU_02,106.23,71.43,108.17,4,3,True
2025-06-08,SKU_03,194.48,41.34,117.29,4,3,True
2025-06-08,SKU_04,98.4,44.77,113.22,3,3,True
2025-06-08,SKU_05,61.07,100.92,117.24,1,3,False
2025-06-08,SKU_06,74.93,63.85,56.5,0,5,False
2025-06-08,SKU_07,144.13,104.27,111.1,0,5,False
2025-06-08,SKU_08,187.29,145.46,35.21,3,5,False
2025-06-08,SKU_09,66.01,76.92,45.27,3,5,False
2025-06-08,SKU_10,119.55,78.87,82.53,3,5,False
2025-06-07,SKU_01,104.05,68.59,70.79,0,3,False
2025-06-07,SKU_02,91.96,85.23,84.25,4,3,True
2025-06-07,SKU_03,69.98,48.38,114.65,2,3,True
2025-06-07,SKU_04,158.86,107.48,67.64,1,3,False
2025-06-07,SKU_05,132.74,58.13,67.01,0,3,False
2025-06-07,SKU_06,122.06,148.38,63.91,1,5,False
2025-06-07,SKU_07,107.13,146.69,105.79,4,5,True
2025-06-07,SKU_08,59.53,44.05,42.05,4,5,True
2025-06-07,SKU_09,58.46,135.12,103.16,4,5,True
2025-06-07,SKU_10,199.5,101.1,99.21,4,5,True
2025-06-06,SKU_01,163.56,81.56,51.7,0,3,False
2025-06-06,SKU_02,69.37,144.95,84.56,0,3,False
2025-06-06,SKU_03,150.76,107.99,62.23,1,3,False
2025-06-06,SKU_04,124.72,92.38,104.82,1,3,False
2025-06-06,SKU_05,177.83,100.71,80.48,2,3,True
2025-06-06,SKU_06,110.52,54.74,32.59,4,5,True
2025-06-06,SKU_07,143.05,117.45,49.17,3,5,False
2025-06-06,SKU_08,197.07,106.89,87.3,2,5,False
2025-06-06,SKU_09,63.65,119.9,79.27,0,5,False
2025-06-06,SKU_10,167.55,83.62,85.99,2,5,False
2025-06-05,SKU_01,154.65,127.61,71.34,0,3,False
2025-06-05,SKU_02,123.82,68.41,71.32,1,3,False
2025-06-05,SKU_03,143.12,78.22,48.82,2,3,True
2025-06-05,SKU_04,86.02,48.34,41.6,2,3,True
2025-06-05,SKU_05,70.82,110.5,46.37,0,3,False
2025-06-05,SKU_06,184.52,92.14,90.08,1,5,False
2025-06-05,SKU_07,140.29,64.62,103.96,1,5,False
2025-06-05,SKU_08,91.79,59.47,37.98,0,5,False
2025-06-05,SKU_09,130.16,79.16,110.48,0,5,False
2025-06-05,SKU_10,125.51,115.94,33.54,0,5,False
2025-06-04,SKU_01,122.17,115.66,76.05,2,3,True
2025-06-04,SKU_02,188.13,46.72,54.92,0,3,False
2025-06-04,SKU_03,62.68,105.7,118.76,1,3,False
2025-06-04,SKU_04,163.99,98.44,94.85,1,3,False
2025-06-04,SKU_05,55.5,67.77,94.2,2,3,True
2025-06-04,SKU_06,129.82,51.79,70.27,2,5,False
2025-06-04,SKU_07,109.57,51.54,96.37,3,5,False
2025-06-04,SKU_08,53.01,75.43,49.03,1,5,False
2025-06-04,SKU_09,130.3,65.65,60.86,0,5,False
2025-06-04,SKU_10,151.87,126.81,74.86,3,5,False
2025-06-03,SKU_01,130.57,104.55,97.09,0,3,False
2025-06-03,SKU_02,134.67,81.66,60.37,3,3,True
2025-06-03,SKU_03,146.89,102.79,62.05,4,3,True
2025-06-03,SKU_04,99.55,142.71,30.68,4,3,True
2025-06-03,SKU_05,72.93,67.06,44.46,2,3,True
2025-06-03,SKU_06,63.18,128.65,35.01,0,5,False
2025-06-03,SKU_07,62.04,97.7,66.94,3,5,False
2025-06-03,SKU_08,199.59,138.63,81.84,2,5,False
2025-06-03,SKU_09,179.83,129.88,53.21,2,5,False
2025-06-03,SKU_10,173.13,119.03,78.15,1,5,False
2025-06-02,SKU_01,92.0,124.64,46.83,3,3,True
2025-06-02,SKU_02,113.82,95.84,51.82,0,3,False
2025-06-02,SKU_03,141.59,71.75,82.31,2,3,True
2025-06-02,SKU_04,189.8,75.27,83.45,1,3,False
2025-06-02,SKU_05,118.14,100.35,79.4,1,3,False
2025-06-02,SKU_06,98.35,129.09,52.92,4,5,True
2025-06-02,SKU_07,50.41,52.84,72.58,2,5,False
2025-06-02,SKU_08,102.33,142.25,104.76,3,5,False
2025-06-02,SKU_09,111.28,142.62,119.18,1,5,False
2025-06-02,SKU_10,77.18,47.31,96.7,3,5,False
2025-06-01,SKU_01,176.27,55.37,101.57,3,3,True
2025-06-01,SKU_02,74.55,58.07,103.31,2,3,True
2025-06-01,SKU_03,145.06,139.87,58.46,1,3,False
2025-06-01,SKU_04,108.87,129.83,69.52,2,3,True
2025-06-01,SKU_05,143.62,99.38,69.49,0,3,False
2025-06-01,SKU_06,84.83,138.95,64.55,4,5,True
2025-06-01,SKU_07,185.97,108.67,40.52,2,5,False
2025-06-01,SKU_08,144.16,76.84,42.53,4,5,True
2025-06-01,SKU_09,124.31,121.56,81.58,4,5,True
2025-06-01,SKU_10,72.75,74.29,52.36,0,5,False
2025-05-31,SKU_01,55.03,102.69,98.62,2,3,True
2025-05-31,SKU_02,163.2,51.32,78.28,3,3,True
2025-05-31,SKU_03,118.55,106.44,75.21,4,3,True
2025-05-31,SKU_04,122.95,84.99,99.47,2,3,True
2025-05-31,SKU_05,146.17,116.33,78.85,2,3,True
2025-05-31,SKU_06,139.85,130.95,116.32,1,5,False
2025-05-31,SKU_07,192.09,56.87,82.76,1,5,False
2025-05-31,SKU_08,141.72,41.99,108.49,3,5,False
2025-05-31,SKU_09,65.33,141.06,101.11,4,5,True
2025-05-31,SKU_10,156.09,56.78,81.87,1,5,False
2025-05-30,SKU_01,60.34,48.51,39.38,0,3,False
2025-05-30,SKU_02,188.84,89.59,40.19,4,3,True
2025-05-30,SKU_03,74.83,60.5,105.37,0,3,False
2025-05-30,SKU_04,180.48,97.07,83.21,4,3,True
2025-05-30,SKU_05,106.9,121.87,48.5,0,3,False
2025-05-30,SKU_06,50.69,76.68,65.84,0,5,False
2025-05-30,SKU_07,179.53,141.53,71.91,2,5,False
2025-05-30,SKU_08,160.63,89.74,50.21,3,5,False
2025-05-30,SKU_09,186.91,67.3,81.99,3,5,False
2025-05-30,SKU_10,112.84,140.63,62.62,2,5,False
2025-05-29,SKU_01,144.84,41.44,89.72,0,3,False
2025-05-29,SKU_02,194.16,56.35,67.32,3,3,True
2025-05-29,SKU_03,130.26,60.29,56.96,4,3,True
2025-05-29,SKU_04,109.6,86.95,101.98,4,3,True
2025-05-29,SKU_05,143.75,81.55,105.29,2,3,True
2025-05-29,SKU_06,59.86,125.31,70.8,1,5,False
2025-05-29,SKU_07,130.17,92.92,74.73,2,5,False
2025-05-29,SKU_08,73.29,60.01,107.56,2,5,False
2025-05-29,SKU_09,106.0,69.78,87.96,3,5,False
2025-05-29,SKU_10,170.11,147.68,105.58,4,5,True
2025-05-28,SKU_01,111.2,100.69,52.85,2,3,True
2025-05-28,SKU_02,125.83,105.46,60.53,4,3,True
2025-05-28,SKU_03,76.78,111.8,51.44,1,3,False
2025-05-28,SKU_04,170.8,148.76,84.29,2,3,True
2025-05-28,SKU_05,194.4,143.89,42.7,1,3,False
2025-05-28,SKU_06,51.95,49.41,48.71,2,5,False
2025-05-28,SKU_07,68.42,136.41,87.86,1,5,False
2025-05-28,SKU_08,183.9,129.92,60.76,1,5,False
2025-05-28,SKU_09,173.77,79.94,33.08,3,5,False
2025-05-28,SKU_10,143.62,85.04,79.68,1,5,False
2025-05-27,SKU_01,179.16,64.15,117.71,3,3,True
2025-05-27,SKU_02,71.02,135.53,73.87,0,3,False
2025-05-27,SKU_03,122.72,96.37,96.75,1,3,False
2025-05-27,SKU_04,145.02,68.37,42.54,2,3,True
2025-05-27,SKU_05,113.26,54.55,111.05,1,3,False
2025-05-27,SKU_06,90.85,42.02,112.29,4,5,True
2025-05-27,SKU_07,172.26,94.79,36.05,4,5,True
2025-05-27,SKU_08,147.71,131.27,48.58,1,5,False
2025-05-27,SKU_09,71.0,69.01,53.98,2,5,False
2025-05-27,SKU_10,139.61,106.06,89.85,1,5,False
2025-05-26,SKU_01,187.16,86.06,64.48,1,3,False
2025-05-26,SKU_02,113.31,78.93,116.28,0,3,False
2025-05-26,SKU_03,62.42,106.35,52.08,4,3,True
2025-05-26,SKU_04,175.56,88.09,112.4,2,3,True
2025-05-26,SKU_05,94.57,102.3,72.84,4,3,True
2025-05-26,SKU_06,122.56,69.69,78.59,2,5,False
2025-05-26,SKU_07,139.26,45.66,74.67,4,5,True
2025-05-26,SKU_08,73.2,108.57,72.68,0,5,False
2025-05-26,SKU_09,61.27,120.1,74.59,2,5,False
2025-05-26,SKU_10,139.74,90.56,36.83,1,5,False
2025-05-25,SKU_01,169.91,116.42,54.49,1,3,False
2025-05-25,SKU_02,65.46,74.61,102.67,0,3,False
2025-05-25,SKU_03,70.52,144.53,70.14,3,3,True
2025-05-25,SKU_04,131.29,136.02,95.9,4,3,True
2025-05-25,SKU_05,163.86,119.65,87.35,0,3,False
2025-05-25,SKU_06,185.5,111.13,92.39,0,5,False
2025-05-25,SKU_07,191.61,44.34,93.5,0,5,False
2025-05-25,SKU_08,77.09,102.47,112.39,4,5,True
2025-05-25,SKU_09,159.65,61.19,40.38,2,5,False
2025-05-25,SKU_10,191.64,92.16,107.58,2,5,False
2025-05-24,SKU_01,97.87,131.18,33.33,2,3,True
2025-05-24,SKU_02,134.1,92.92,109.65,2,3,True
2025-05-24,SKU_03,100.98,119.72,35.88,0,3,False
2025-05-24,SKU_04,130.76,112.78,96.41,0,3,False
2025-05-24,SKU_05,182.9,107.74,50.97,2,3,True
2025-05-24,SKU_06,180.51,42.34,108.72,4,5,True
2025-05-24,SKU_07,107.59,142.58,36.3,3,5,False
2025-05-24,SKU_08,57.9,49.74,33.38,3,5,False
2025-05-24,SKU_09,144.13,136.1,118.57,1,5,False
2025-05-24,SKU_10,63.75,77.0,77.03,0,5,False
2025-05-23,SKU_01,85.82,52.15,61.92,1,3,False
2025-05-23,SKU_02,94.45,65.7,33.79,0,3,False
2025-05-23,SKU_03,186.55,44.96,39.85,0,3,False
2025-05-23,SKU_04,151.95,64.01,115.5,4,3,True
2025-05-23,SKU_05,88.85,104.74,118.41,2,3,True
2025-05-23,SKU_06,185.56,148.81,96.9,3,5,False
2025-05-23,SKU_07,84.75,143.7,88.47,4,5,True
2025-05-23,SKU_08,174.6,53.24,34.23,0,5,False
2025-05-23,SKU_09,83.07,60.51,100.16,4,5,True
2025-05-23,SKU_10,58.68,146.6,109.54,2,5,False
2025-05-22,SKU_01,139.59,97.75,53.42,2,3,True
2025-05-22,SKU_02,163.74,116.56,43.85,2,3,True
2025-05-22,SKU_03,83.67,64.62,78.33,0,3,False
2025-05-22,SKU_04,184.24,134.61,71.17,2,3,True
2025-05-22,SKU_05,90.94,92.43,33.99,1,3,False
2025-05-22,SKU_06,179.32,129.05,88.97,4,5,True
2025-05-22,SKU_07,160.28,70.95,52.74,2,5,False
2025-05-22,SKU_08,158.51,94.55,37.29,3,5,False
2025-05-22,SKU_09,66.42,138.39,119.23,1,5,False
2025-05-22,SKU_10,124.27,92.86,83.32,1,5,False
